Lower tier local authorities Code,Lower tier local authorities,Disability (3 categories) Code,Disability (3 categories),Observation
E08000001,Bolton,-8,Does not apply,0
E08000001,Bolton,1,Disabled under the Equality Act,53598
E08000001,Bolton,2,Not disabled under the Equality Act,242365
E08000002,Bury,-8,Does not apply,0
E08000002,Bury,1,Disabled under the Equality Act,35886
E08000002,Bury,2,Not disabled under the Equality Act,157965
E08000003,Manchester,-8,Does not apply,0
E08000003,Manchester,1,Disabled under the Equality Act,96737
E08000003,Manchester,2,Not disabled under the Equality Act,455201
E08000004,Oldham,-8,Does not apply,0
E08000004,Oldham,1,Disabled under the Equality Act,44249
E08000004,Oldham,2,Not disabled under the Equality Act,197839
E08000005,Rochdale,-8,Does not apply,0
E08000005,Rochdale,1,Disabled under the Equality Act,42567
E08000005,Rochdale,2,Not disabled under the Equality Act,181206
E08000006,Salford,-8,Does not apply,0
E08000006,Salford,1,Disabled under the Equality Act,49818
E08000006,Salford,2,Not disabled under the Equality Act,220105
E08000007,Stockport,-8,Does not apply,0
E08000007,Stockport,1,Disabled under the Equality Act,53493
E08000007,Stockport,2,Not disabled under the Equality Act,241280
E08000008,Tameside,-8,Does not apply,0
E08000008,Tameside,1,Disabled under the Equality Act,46209
E08000008,Tameside,2,Not disabled under the Equality Act,184862
E08000009,Trafford,-8,Does not apply,0
E08000009,Trafford,1,Disabled under the Equality Act,37550
E08000009,Trafford,2,Not disabled under the Equality Act,197502
E08000010,Wigan,-8,Does not apply,0
E08000010,Wigan,1,Disabled under the Equality Act,65868
E08000010,Wigan,2,Not disabled under the Equality Act,263462
