Local authority name,Total annual income (£),Upper confidence limit (£),Lower confidence limit (£),Confidence interval (£)
Bolton,"  54,700 ","  64,700 ","  46,300 ","  18,400 "
Bolton,"  48,200 ","  56,900 ","  40,800 ","  16,100 "
Bolton,"  43,200 ","  51,000 ","  36,600 ","  14,400 "
Bolton,"  35,700 ","  42,100 ","  30,300 ","  11,800 "
Bolton,"  35,300 ","  41,600 ","  30,000 ","  11,600 "
Bolton,"  44,000 ","  51,900 ","  37,200 ","  14,700 "
Bolton,"  45,000 ","  53,000 ","  38,200 ","  14,800 "
Bolton,"  42,100 ","  49,700 ","  35,700 ","  14,000 "
Bolton,"  43,600 ","  51,700 ","  36,800 ","  14,900 "
Bolton,"  34,200 ","  40,400 ","  29,000 ","  11,400 "
Bolton,"  29,800 ","  35,300 ","  25,200 ","  10,100 "
Bolton,"  41,300 ","  48,700 ","  35,000 ","  13,700 "
Bolton,"  32,000 ","  37,700 ","  27,100 ","  10,600 "
Bolton,"  44,500 ","  52,500 ","  37,700 ","  14,800 "
Bolton,"  32,500 ","  38,500 ","  27,400 ","  11,100 "
Bolton,"  26,400 ","  31,400 ","  22,100 ","  9,300 "
Bolton,"  33,900 ","  40,000 ","  28,800 ","  11,200 "
Bolton,"  43,300 ","  51,000 ","  36,700 ","  14,300 "
Bolton,"  36,300 ","  42,700 ","  30,800 ","  11,900 "
Bolton,"  50,500 ","  59,700 ","  42,800 ","  16,900 "
Bolton,"  30,400 ","  35,900 ","  25,700 ","  10,200 "
Bolton,"  33,000 ","  38,900 ","  28,000 ","  10,900 "
Bolton,"  33,800 ","  40,200 ","  28,500 ","  11,700 "
Bolton,"  36,600 ","  43,200 ","  30,900 ","  12,300 "
Bolton,"  29,200 ","  34,900 ","  24,400 ","  10,500 "
Bolton,"  33,800 ","  39,800 ","  28,700 ","  11,100 "
Bolton,"  34,200 ","  40,300 ","  29,000 ","  11,300 "
Bolton,"  47,000 ","  55,500 ","  39,900 ","  15,600 "
Bolton,"  38,400 ","  45,400 ","  32,500 ","  12,900 "
Bolton,"  45,600 ","  53,800 ","  38,600 ","  15,200 "
Bolton,"  36,700 ","  43,300 ","  31,100 ","  12,200 "
Bolton,"  30,900 ","  36,600 ","  26,200 ","  10,400 "
Bolton,"  34,900 ","  41,300 ","  29,500 ","  11,800 "
Bolton,"  38,700 ","  45,500 ","  32,800 ","  12,700 "
Bolton,"  46,800 ","  55,200 ","  39,700 ","  15,500 "
Bury,"  43,700 ","  51,600 ","  37,100 ","  14,500 "
Bury,"  51,300 ","  60,700 ","  43,500 ","  17,200 "
Bury,"  52,100 ","  61,500 ","  44,100 ","  17,400 "
Bury,"  40,700 ","  47,900 ","  34,600 ","  13,300 "
Bury,"  44,300 ","  52,600 ","  37,400 ","  15,200 "
Bury,"  44,000 ","  51,800 ","  37,300 ","  14,500 "
Bury,"  34,700 ","  40,900 ","  29,400 ","  11,500 "
Bury,"  32,700 ","  38,700 ","  27,600 ","  11,100 "
Bury,"  38,600 ","  45,600 ","  32,700 ","  12,900 "
Bury,"  50,900 ","  60,100 ","  43,100 ","  17,000 "
Bury,"  35,400 ","  41,700 ","  30,000 ","  11,700 "
Bury,"  47,200 ","  55,700 ","  40,000 ","  15,700 "
Bury,"  39,300 ","  46,300 ","  33,400 ","  12,900 "
Bury,"  39,000 ","  45,900 ","  33,100 ","  12,800 "
Bury,"  37,100 ","  43,800 ","  31,500 ","  12,300 "
Bury,"  31,000 ","  36,700 ","  26,300 ","  10,400 "
Bury,"  48,300 ","  56,900 ","  41,000 ","  15,900 "
Bury,"  41,400 ","  48,700 ","  35,100 ","  13,600 "
Bury,"  52,500 ","  62,000 ","  44,500 ","  17,500 "
Bury,"  39,100 ","  46,200 ","  33,200 ","  13,000 "
Bury,"  38,200 ","  45,000 ","  32,400 ","  12,600 "
Bury,"  46,100 ","  54,300 ","  39,200 ","  15,100 "
Bury,"  41,400 ","  48,900 ","  35,100 ","  13,800 "
Bury,"  46,500 ","  54,800 ","  39,400 ","  15,400 "
Bury,"  45,700 ","  53,900 ","  38,800 ","  15,100 "
Bury,"  44,700 ","  53,300 ","  37,500 ","  15,800 "
Manchester,"  33,700 ","  39,800 ","  28,600 ","  11,200 "
Manchester,"  36,700 ","  43,300 ","  31,000 ","  12,300 "
Manchester,"  35,200 ","  41,500 ","  29,900 ","  11,600 "
Manchester,"  38,100 ","  45,000 ","  32,200 ","  12,800 "
Manchester,"  36,400 ","  43,000 ","  30,800 ","  12,200 "
Manchester,"  33,800 ","  40,000 ","  28,600 ","  11,400 "
Manchester,"  34,300 ","  40,600 ","  28,900 ","  11,700 "
Manchester,"  33,700 ","  39,900 ","  28,400 ","  11,500 "
Manchester,"  29,500 ","  34,900 ","  24,900 ","  10,000 "
Manchester,"  31,400 ","  37,000 ","  26,600 ","  10,400 "
Manchester,"  29,600 ","  35,100 ","  25,000 ","  10,100 "
Manchester,"  42,000 ","  50,100 ","  35,200 ","  14,900 "
Manchester,"  33,400 ","  39,500 ","  28,200 ","  11,300 "
Manchester,"  33,200 ","  39,300 ","  28,000 ","  11,300 "
Manchester,"  33,400 ","  39,800 ","  28,000 ","  11,800 "
Manchester,"  31,400 ","  37,600 ","  26,300 ","  11,300 "
Manchester,"  32,100 ","  38,100 ","  27,100 ","  11,000 "
Manchester,"  34,100 ","  40,400 ","  28,900 ","  11,500 "
Manchester,"  29,800 ","  35,400 ","  25,000 ","  10,400 "
Manchester,"  33,000 ","  39,100 ","  27,800 ","  11,300 "
Manchester,"  29,300 ","  34,800 ","  24,600 ","  10,200 "
Manchester,"  33,800 ","  40,200 ","  28,400 ","  11,800 "
Manchester,"  34,000 ","  40,400 ","  28,500 ","  11,900 "
Manchester,"  31,800 ","  38,100 ","  26,600 ","  11,500 "
Manchester,"  40,700 ","  48,200 ","  34,400 ","  13,800 "
Manchester,"  53,700 ","  63,900 ","  45,200 ","  18,700 "
Manchester,"  39,100 ","  46,100 ","  33,100 ","  13,000 "
Manchester,"  37,100 ","  44,000 ","  31,300 ","  12,700 "
Manchester,"  33,900 ","  40,700 ","  28,300 ","  12,400 "
Manchester,"  57,400 ","  68,000 ","  48,400 ","  19,600 "
Manchester,"  41,300 ","  48,800 ","  34,900 ","  13,900 "
Manchester,"  37,500 ","  44,500 ","  31,700 ","  12,800 "
Manchester,"  36,400 ","  43,400 ","  30,600 ","  12,800 "
Manchester,"  55,600 ","  65,900 ","  46,900 ","  19,000 "
Manchester,"  52,200 ","  62,100 ","  43,800 ","  18,300 "
Manchester,"  55,000 ","  65,600 ","  46,200 ","  19,400 "
Manchester,"  47,200 ","  55,900 ","  39,800 ","  16,100 "
Manchester,"  33,600 ","  39,900 ","  28,300 ","  11,600 "
Manchester,"  47,400 ","  56,200 ","  40,000 ","  16,200 "
Manchester,"  67,100 ","  80,300 ","  56,000 ","  24,300 "
Manchester,"  38,400 ","  45,200 ","  32,600 ","  12,600 "
Manchester,"  56,000 ","  66,400 ","  47,200 ","  19,200 "
Manchester,"  45,700 ","  53,900 ","  38,800 ","  15,100 "
Manchester,"  39,800 ","  47,000 ","  33,800 ","  13,200 "
Manchester,"  38,400 ","  45,300 ","  32,600 ","  12,700 "
Manchester,"  35,900 ","  42,400 ","  30,400 ","  12,000 "
Manchester,"  32,600 ","  38,600 ","  27,600 ","  11,000 "
Manchester,"  36,000 ","  42,500 ","  30,500 ","  12,000 "
Manchester,"  37,300 ","  44,000 ","  31,600 ","  12,400 "
Manchester,"  35,500 ","  42,000 ","  30,100 ","  11,900 "
Manchester,"  46,000 ","  54,700 ","  38,700 ","  16,000 "
