LAD2021,OA21CD,Total
Bolton,E00024141,361
Bolton,E00024142,281
Bolton,E00024143,353
Bolton,E00024144,265
Bolton,E00024145,358
Bolton,E00024146,290
Bolton,E00024147,323
Bolton,E00024148,396
Bolton,E00024150,243
Bolton,E00024151,276
Bolton,E00024152,331
Bolton,E00024153,322
Bolton,E00024154,368
Bolton,E00024155,304
Bolton,E00024156,389
Bolton,E00024157,414
Bolton,E00024158,344
Bolton,E00024159,272
Bolton,E00024160,308
Bolton,E00024161,362
Bolton,E00024162,298
Bolton,E00024163,268
Bolton,E00024164,372
Bolton,E00024165,204
Bolton,E00024166,335
Bolton,E00024167,325
Bolton,E00024168,300
Bolton,E00024169,203
Bolton,E00024170,274
Bolton,E00024171,392
Bolton,E00024172,341
Bolton,E00024173,250
Bolton,E00024175,314
Bolton,E00024176,317
Bolton,E00024177,388
Bolton,E00024178,362
Bolton,E00024179,317
Bolton,E00024180,291
Bolton,E00024181,279
Bolton,E00024182,245
Bolton,E00024183,430
Bolton,E00024184,319
Bolton,E00024185,218
Bolton,E00024186,300
Bolton,E00024187,333
Bolton,E00024188,342
Bolton,E00024190,236
Bolton,E00024191,287
Bolton,E00024192,480
Bolton,E00024193,382
Bolton,E00024194,273
Bolton,E00024195,303
Bolton,E00024196,241
Bolton,E00024197,274
Bolton,E00024198,302
Bolton,E00024200,315
Bolton,E00024201,321
Bolton,E00024202,319
Bolton,E00024203,318
Bolton,E00024204,239
Bolton,E00024205,282
Bolton,E00024206,249
Bolton,E00024207,310
Bolton,E00024208,574
Bolton,E00024210,299
Bolton,E00024211,358
Bolton,E00024212,266
Bolton,E00024213,309
Bolton,E00024215,397
Bolton,E00024216,446
Bolton,E00024217,319
Bolton,E00024218,316
Bolton,E00024219,542
Bolton,E00024220,206
Bolton,E00024221,209
Bolton,E00024222,372
Bolton,E00024223,366
Bolton,E00024224,312
Bolton,E00024225,564
Bolton,E00024226,208
Bolton,E00024227,235
Bolton,E00024228,412
Bolton,E00024229,334
Bolton,E00024230,250
Bolton,E00024231,260
Bolton,E00024232,214
Bolton,E00024233,321
Bolton,E00024234,311
Bolton,E00024235,433
Bolton,E00024236,293
Bolton,E00024237,283
Bolton,E00024238,370
Bolton,E00024239,347
Bolton,E00024240,243
Bolton,E00024241,257
Bolton,E00024242,267
Bolton,E00024243,271
Bolton,E00024244,252
Bolton,E00024245,195
Bolton,E00024246,300
Bolton,E00024247,277
Bolton,E00024248,276
Bolton,E00024249,314
Bolton,E00024250,308
Bolton,E00024251,329
Bolton,E00024252,322
Bolton,E00024253,263
Bolton,E00024254,207
Bolton,E00024255,269
Bolton,E00024256,366
Bolton,E00024257,324
Bolton,E00024258,265
Bolton,E00024259,319
Bolton,E00024260,225
Bolton,E00024261,320
Bolton,E00024262,296
Bolton,E00024263,358
Bolton,E00024264,288
Bolton,E00024265,268
Bolton,E00024266,270
Bolton,E00024267,285
Bolton,E00024268,267
Bolton,E00024269,290
Bolton,E00024270,260
Bolton,E00024271,222
Bolton,E00024272,234
Bolton,E00024273,235
Bolton,E00024274,300
Bolton,E00024275,246
Bolton,E00024276,424
Bolton,E00024277,311
Bolton,E00024278,313
Bolton,E00024279,251
Bolton,E00024280,421
Bolton,E00024281,372
Bolton,E00024282,363
Bolton,E00024283,290
Bolton,E00024284,400
Bolton,E00024285,485
Bolton,E00024286,249
Bolton,E00024287,406
Bolton,E00024288,380
Bolton,E00024289,307
Bolton,E00024290,267
Bolton,E00024291,291
Bolton,E00024292,316
Bolton,E00024293,297
Bolton,E00024294,340
Bolton,E00024295,338
Bolton,E00024296,246
Bolton,E00024297,254
Bolton,E00024298,313
Bolton,E00024299,272
Bolton,E00024300,418
Bolton,E00024301,246
Bolton,E00024302,227
Bolton,E00024303,227
Bolton,E00024304,331
Bolton,E00024305,299
Bolton,E00024306,263
Bolton,E00024307,330
