Region GSS code,Period,Sales volume,Average price All property types,Average price Detached houses,Average price Semi-detached houses,Average price Terraced houses,Average price Flats and maisonettes
E11000001,1995-01,2129.0,38280,74376,42136,30844,30447
E11000001,1995-02,2176.0,38381,74034,42377,30946,30309
E11000001,1995-03,3127.0,38524,74185,42499,31104,30427
E11000001,1995-04,2359.0,38812,74541,42816,31376,30585
E11000001,1995-05,2686.0,38920,74641,42886,31512,30672
E11000001,1995-06,3323.0,38965,74684,43029,31470,30869
E11000001,1995-07,2791.0,38691,74274,42770,31212,30586
E11000001,1995-08,2786.0,38515,74448,42626,30972,30371
E11000001,1995-09,2916.0,38223,74176,42255,30770,29818
E11000001,1995-10,2711.0,37884,73924,42008,30352,29564
E11000001,1995-11,2925.0,37751,73733,41909,30181,29636
E11000001,1995-12,3329.0,37571,73314,41763,29994,29627
E11000001,1996-01,2156.0,37496,73325,41644,29941,29521
E11000001,1996-02,2273.0,37382,73165,41561,29838,29261
E11000001,1996-03,3245.0,37354,73507,41611,29727,29091
E11000001,1996-04,2701.0,37549,73605,41758,29970,29254
E11000001,1996-05,3145.0,37917,73965,42055,30385,29579
E11000001,1996-06,3227.0,38323,74387,42406,30794,30151
E11000001,1996-07,3326.0,38611,75009,42768,30989,30369
E11000001,1996-08,3609.0,38702,75749,42875,30987,30342
E11000001,1996-09,3233.0,38886,76596,43068,31112,30187
E11000001,1996-10,3606.0,39009,77191,43272,31144,30092
E11000001,1996-11,3722.0,38843,76780,43124,30995,29992
E11000001,1996-12,3641.0,38930,76594,43304,31054,30123
E11000001,1997-01,2812.0,38910,76436,43224,31102,30054
E11000001,1997-02,2826.0,39214,77206,43588,31297,30316
E11000001,1997-03,3165.0,39178,77417,43477,31282,30249
E11000001,1997-04,3116.0,39223,77370,43559,31313,30311
E11000001,1997-05,3773.0,39676,78085,44099,31715,30429
E11000001,1997-06,3799.0,40109,79033,44628,32045,30553
E11000001,1997-07,3956.0,40629,80238,45187,32472,30778
E11000001,1997-08,3928.0,40641,80529,45193,32452,30734
E11000001,1997-09,3662.0,40739,80779,45314,32508,30838
E11000001,1997-10,4073.0,40694,80784,45317,32424,30795
E11000001,1997-11,3502.0,40636,80727,45287,32339,30798
E11000001,1997-12,3889.0,40420,80404,45137,32108,30526
E11000001,1998-01,2546.0,40525,80862,45205,32165,30740
E11000001,1998-02,2727.0,40601,80886,45320,32190,31020
E11000001,1998-03,3282.0,40684,80999,45406,32255,31165
E11000001,1998-04,3302.0,41220,81490,46061,32726,31633
E11000001,1998-05,3503.0,41874,82491,46727,33362,31979
E11000001,1998-06,3736.0,42409,83380,47284,33802,32629
E11000001,1998-07,4144.0,42678,84025,47591,33975,32955
E11000001,1998-08,3592.0,42631,84202,47524,33866,33154
E11000001,1998-09,3611.0,42522,84269,47397,33762,32909
E11000001,1998-10,3708.0,42285,84066,47123,33526,32798
