price,date,postcode,property_type,old_new,duration,district,county
137000,2025-06-11 00:00,M9 0PY,T,N,F,MANCHESTER,GREATER MANCHESTER
285000,2025-07-21 00:00,M27 4HG,S,N,F,SALFORD,GREATER MANCHESTER
55015,2025-08-12 00:00,OL11 4PD,T,N,F,ROCHDALE,GREATER MANCHESTER
165000,2025-08-29 00:00,OL16 4PL,T,N,L,ROCHDALE,GREATER MANCHESTER
1450000,2025-03-31 00:00,WA15 9DP,S,N,F,TRAFFORD,GREATER MANCHESTER
202500,2025-06-20 00:00,OL5 0NR,S,N,F,TAMESIDE,GREATER MANCHESTER
205000,2025-07-15 00:00,M40 1PL,S,N,F,MANCHESTER,GREATER MANCHESTER
437500,2025-07-22 00:00,WA15 8AY,S,N,F,TRAFFORD,GREATER MANCHESTER
431225,2025-07-25 00:00,BL1 5DF,S,N,F,BOLTON,GREATER MANCHESTER
462000,2025-08-22 00:00,M16 8JF,T,N,F,MANCHESTER,GREATER MANCHESTER
150000,2025-03-21 00:00,M5 5FD,T,N,F,SALFORD,GREATER MANCHESTER
130000,2025-07-31 00:00,M5 4TR,F,N,L,SALFORD,GREATER MANCHESTER
205000,2025-03-14 00:00,M45 8WY,T,N,F,BURY,GREATER MANCHESTER
1375000,2025-08-05 00:00,SK7 3LY,D,N,F,STOCKPORT,GREATER MANCHESTER
141000,2025-07-25 00:00,BL4 7BP,S,N,L,BOLTON,GREATER MANCHESTER
152000,2025-07-18 00:00,M29 8HQ,T,N,L,WIGAN,GREATER MANCHESTER
1120000,2025-03-27 00:00,M28 2TL,S,N,F,SALFORD,GREATER MANCHESTER
210000,2025-08-15 00:00,BL5 3TP,S,N,L,BOLTON,GREATER MANCHESTER
490000,2025-06-30 00:00,SK7 4JD,D,N,F,STOCKPORT,GREATER MANCHESTER
250000,2025-08-07 00:00,M33 7AS,T,N,F,TRAFFORD,GREATER MANCHESTER
270000,2025-08-08 00:00,SK6 4JW,S,N,F,STOCKPORT,GREATER MANCHESTER
328000,2025-07-18 00:00,M45 7SH,S,N,L,BURY,GREATER MANCHESTER
240000,2025-08-04 00:00,M12 4WJ,S,N,F,MANCHESTER,GREATER MANCHESTER
180000,2025-08-15 00:00,WN7 1RZ,T,N,L,WIGAN,GREATER MANCHESTER
167000,2025-05-02 00:00,OL5 0HQ,T,N,F,TAMESIDE,GREATER MANCHESTER
605000,2025-07-28 00:00,SK2 7EG,D,N,F,STOCKPORT,GREATER MANCHESTER
75000,2025-07-31 00:00,M11 1NH,F,N,L,MANCHESTER,GREATER MANCHESTER
205000,2025-07-22 00:00,M28 1DF,T,N,F,SALFORD,GREATER MANCHESTER
300000,2025-05-23 00:00,BL8 2UA,D,N,L,BURY,GREATER MANCHESTER
320000,2025-07-21 00:00,SK8 1EQ,S,N,F,STOCKPORT,GREATER MANCHESTER
240000,2025-07-16 00:00,M31 4EY,S,N,F,TRAFFORD,GREATER MANCHESTER
235000,2025-08-08 00:00,OL2 7XF,S,N,F,OLDHAM,GREATER MANCHESTER
245000,2025-01-17 00:00,M21 9LY,T,N,L,MANCHESTER,GREATER MANCHESTER
270000,2025-08-27 00:00,BL0 9LX,S,N,F,BURY,GREATER MANCHESTER
190000,2025-07-16 00:00,M12 5SN,T,N,F,MANCHESTER,GREATER MANCHESTER
293800,2025-06-20 00:00,OL3 6DE,T,N,F,OLDHAM,GREATER MANCHESTER
165000,2025-03-06 00:00,SK14 4RU,T,N,L,TAMESIDE,GREATER MANCHESTER
145000,2025-07-25 00:00,OL16 2YY,S,N,L,ROCHDALE,GREATER MANCHESTER
509950,2025-07-17 00:00,M41 7AZ,S,N,F,TRAFFORD,GREATER MANCHESTER
410000,2025-08-21 00:00,M25 9PY,D,N,F,BURY,GREATER MANCHESTER
365000,2025-07-31 00:00,OL11 5PL,D,N,F,ROCHDALE,GREATER MANCHESTER
361000,2025-07-04 00:00,M32 8BE,T,N,F,TRAFFORD,GREATER MANCHESTER
665000,2025-07-18 00:00,BL0 9FJ,D,N,F,BURY,GREATER MANCHESTER
155500,2025-08-15 00:00,M1 5JF,F,N,L,MANCHESTER,GREATER MANCHESTER
280000,2025-03-28 00:00,M29 8JL,T,N,F,WIGAN,GREATER MANCHESTER
675000,2025-03-11 00:00,SK4 4RB,D,N,F,STOCKPORT,GREATER MANCHESTER
389500,2025-07-25 00:00,M45 6NT,D,N,F,BURY,GREATER MANCHESTER
670000,2025-03-20 00:00,SK6 5AW,S,N,L,STOCKPORT,GREATER MANCHESTER
244000,2025-07-18 00:00,OL3 7AH,S,N,F,OLDHAM,GREATER MANCHESTER
250000,2025-08-21 00:00,SK4 5NW,T,N,L,STOCKPORT,GREATER MANCHESTER
150000,2025-06-26 00:00,M18 7RF,S,N,F,MANCHESTER,GREATER MANCHESTER
230000,2025-07-24 00:00,BL6 5RL,S,N,F,BOLTON,GREATER MANCHESTER
185000,2025-06-06 00:00,BL5 2NY,T,N,L,BOLTON,GREATER MANCHESTER
280000,2025-03-31 00:00,M28 3SH,S,N,L,SALFORD,GREATER MANCHESTER
258000,2025-08-08 00:00,M20 6GR,S,N,F,MANCHESTER,GREATER MANCHESTER
