OA21CD,RUC21CD,RUC21NM,Urban_rural_flag,ObjectId_x
E00024255,UN1,Urban: Nearer to a major town or city,Urban,22451
E00024305,UN1,Urban: Nearer to a major town or city,Urban,22452
E00024150,UN1,Urban: Nearer to a major town or city,Urban,22453
E00024306,UN1,Urban: Nearer to a major town or city,Urban,22456
E00024256,UN1,Urban: Nearer to a major town or city,Urban,22459
E00024151,UN1,Urban: Nearer to a major town or city,Urban,22460
E00024307,UN1,Urban: Nearer to a major town or city,Urban,22461
E00024203,UN1,Urban: Nearer to a major town or city,Urban,22465
E00024257,UN1,Urban: Nearer to a major town or city,Urban,22466
E00024258,UN1,Urban: Nearer to a major town or city,Urban,22467
E00024259,RSN1,Smaller rural: Nearer to a major town or city,Rural,22468
E00024260,UN1,Urban: Nearer to a major town or city,Urban,22469
E00024261,UN1,Urban: Nearer to a major town or city,Urban,22470
E00024262,UN1,Urban: Nearer to a major town or city,Urban,22471
E00024263,UN1,Urban: Nearer to a major town or city,Urban,22472
E00024264,UN1,Urban: Nearer to a major town or city,Urban,22473
E00024265,UN1,Urban: Nearer to a major town or city,Urban,22474
E00024266,UN1,Urban: Nearer to a major town or city,Urban,22475
E00024267,UN1,Urban: Nearer to a major town or city,Urban,22476
E00024268,UN1,Urban: Nearer to a major town or city,Urban,22477
E00024269,UN1,Urban: Nearer to a major town or city,Urban,22478
E00024270,UN1,Urban: Nearer to a major town or city,Urban,22479
E00024271,UN1,Urban: Nearer to a major town or city,Urban,22480
E00024272,UN1,Urban: Nearer to a major town or city,Urban,22481
E00024273,UN1,Urban: Nearer to a major town or city,Urban,22482
E00024274,UN1,Urban: Nearer to a major town or city,Urban,22483
E00024275,UN1,Urban: Nearer to a major town or city,Urban,22484
E00024276,UN1,Urban: Nearer to a major town or city,Urban,22485
E00024277,UN1,Urban: Nearer to a major town or city,Urban,22486
E00024278,UN1,Urban: Nearer to a major town or city,Urban,22487
E00024279,UN1,Urban: Nearer to a major town or city,Urban,22488
E00024280,UN1,Urban: Nearer to a major town or city,Urban,22489
E00024281,UN1,Urban: Nearer to a major town or city,Urban,22490
E00024282,UN1,Urban: Nearer to a major town or city,Urban,22491
E00024283,UN1,Urban: Nearer to a major town or city,Urban,22492
E00024284,UN1,Urban: Nearer to a major town or city,Urban,22493
E00024285,UN1,Urban: Nearer to a major town or city,Urban,22494
E00024286,UN1,Urban: Nearer to a major town or city,Urban,22495
E00024287,UN1,Urban: Nearer to a major town or city,Urban,22496
E00024288,UN1,Urban: Nearer to a major town or city,Urban,22497
E00024289,UN1,Urban: Nearer to a major town or city,Urban,22498
E00024290,UN1,Urban: Nearer to a major town or city,Urban,22499
E00024291,UN1,Urban: Nearer to a major town or city,Urban,22500
E00024292,UN1,Urban: Nearer to a major town or city,Urban,22501
E00024293,UN1,Urban: Nearer to a major town or city,Urban,22502
E00024294,UN1,Urban: Nearer to a major town or city,Urban,22503
E00024295,UN1,Urban: Nearer to a major town or city,Urban,22504
E00024296,UN1,Urban: Nearer to a major town or city,Urban,22505
E00024297,UN1,Urban: Nearer to a major town or city,Urban,22506
E00024298,UN1,Urban: Nearer to a major town or city,Urban,22507
E00024299,UN1,Urban: Nearer to a major town or city,Urban,22508
E00024300,UN1,Urban: Nearer to a major town or city,Urban,22509
E00024301,UN1,Urban: Nearer to a major town or city,Urban,22510
E00024302,UN1,Urban: Nearer to a major town or city,Urban,22511
E00024303,UN1,Urban: Nearer to a major town or city,Urban,22512
E00024304,UN1,Urban: Nearer to a major town or city,Urban,22513
E00024204,UN1,Urban: Nearer to a major town or city,Urban,22514
E00024308,UN1,Urban: Nearer to a major town or city,Urban,22515
E00024152,UN1,Urban: Nearer to a major town or city,Urban,22517
E00024205,UN1,Urban: Nearer to a major town or city,Urban,22518
E00024309,UN1,Urban: Nearer to a major town or city,Urban,22520
E00024310,UN1,Urban: Nearer to a major town or city,Urban,22521
E00024206,UN1,Urban: Nearer to a major town or city,Urban,22523
E00024311,UN1,Urban: Nearer to a major town or city,Urban,22524
E00024153,UN1,Urban: Nearer to a major town or city,Urban,22528
E00024312,UN1,Urban: Nearer to a major town or city,Urban,22529
E00024154,UN1,Urban: Nearer to a major town or city,Urban,22531
E00024314,UN1,Urban: Nearer to a major town or city,Urban,22533
E00024207,UN1,Urban: Nearer to a major town or city,Urban,22535
E00024155,UN1,Urban: Nearer to a major town or city,Urban,22536
E00024315,UN1,Urban: Nearer to a major town or city,Urban,22539
E00024208,UN1,Urban: Nearer to a major town or city,Urban,22541
E00024156,UN1,Urban: Nearer to a major town or city,Urban,22542
E00024316,UN1,Urban: Nearer to a major town or city,Urban,22545
E00024210,UN1,Urban: Nearer to a major town or city,Urban,22547
E00024157,UN1,Urban: Nearer to a major town or city,Urban,22548
E00024158,UN1,Urban: Nearer to a major town or city,Urban,22549
E00024159,UN1,Urban: Nearer to a major town or city,Urban,22550
E00024160,UN1,Urban: Nearer to a major town or city,Urban,22551
E00024161,UN1,Urban: Nearer to a major town or city,Urban,22552
E00024162,UN1,Urban: Nearer to a major town or city,Urban,22553
E00024163,UN1,Urban: Nearer to a major town or city,Urban,22554
E00024164,UN1,Urban: Nearer to a major town or city,Urban,22555
E00024165,UN1,Urban: Nearer to a major town or city,Urban,22556
E00024166,UN1,Urban: Nearer to a major town or city,Urban,22557
E00024167,UN1,Urban: Nearer to a major town or city,Urban,22558
E00024168,UN1,Urban: Nearer to a major town or city,Urban,22559
E00024169,UN1,Urban: Nearer to a major town or city,Urban,22560
E00024170,UN1,Urban: Nearer to a major town or city,Urban,22561
E00024171,UN1,Urban: Nearer to a major town or city,Urban,22562
E00024172,UN1,Urban: Nearer to a major town or city,Urban,22563
E00024173,UN1,Urban: Nearer to a major town or city,Urban,22564
E00024175,UN1,Urban: Nearer to a major town or city,Urban,22565
E00024176,UN1,Urban: Nearer to a major town or city,Urban,22566
E00024177,UN1,Urban: Nearer to a major town or city,Urban,22567
E00024178,UN1,Urban: Nearer to a major town or city,Urban,22568
E00024179,UN1,Urban: Nearer to a major town or city,Urban,22569
E00024180,UN1,Urban: Nearer to a major town or city,Urban,22570
E00024181,UN1,Urban: Nearer to a major town or city,Urban,22571
E00024182,UN1,Urban: Nearer to a major town or city,Urban,22572
E00024183,UN1,Urban: Nearer to a major town or city,Urban,22573
E00024184,UN1,Urban: Nearer to a major town or city,Urban,22574
E00024185,UN1,Urban: Nearer to a major town or city,Urban,22575
E00024186,UN1,Urban: Nearer to a major town or city,Urban,22576
E00024187,UN1,Urban: Nearer to a major town or city,Urban,22577
E00024188,UN1,Urban: Nearer to a major town or city,Urban,22578
E00024190,UN1,Urban: Nearer to a major town or city,Urban,22579
E00024191,UN1,Urban: Nearer to a major town or city,Urban,22580
E00024192,UN1,Urban: Nearer to a major town or city,Urban,22581
E00024193,UN1,Urban: Nearer to a major town or city,Urban,22582
E00024194,UN1,Urban: Nearer to a major town or city,Urban,22583
E00024195,UN1,Urban: Nearer to a major town or city,Urban,22584
E00024196,UN1,Urban: Nearer to a major town or city,Urban,22585
E00024197,UN1,Urban: Nearer to a major town or city,Urban,22586
E00024198,UN1,Urban: Nearer to a major town or city,Urban,22587
E00024200,UN1,Urban: Nearer to a major town or city,Urban,22588
E00024201,UN1,Urban: Nearer to a major town or city,Urban,22589
E00024202,UN1,Urban: Nearer to a major town or city,Urban,22590
E00024317,UN1,Urban: Nearer to a major town or city,Urban,22591
E00024211,UN1,Urban: Nearer to a major town or city,Urban,22594
E00024318,UN1,Urban: Nearer to a major town or city,Urban,22595
E00024212,UN1,Urban: Nearer to a major town or city,Urban,22598
E00024319,UN1,Urban: Nearer to a major town or city,Urban,22599
E00024213,UN1,Urban: Nearer to a major town or city,Urban,22604
E00024320,UN1,Urban: Nearer to a major town or city,Urban,22605
E00024215,UN1,Urban: Nearer to a major town or city,Urban,22606
E00024321,UN1,Urban: Nearer to a major town or city,Urban,22610
